,day,hour,member_type,count
0,2021-01-25,0,casual,4
1,2021-01-25,0,member,4
2,2021-01-25,1,casual,2
3,2021-01-25,1,member,4
4,2021-01-25,2,casual,3
5,2021-01-25,2,member,2
6,2021-01-25,3,casual,1
7,2021-01-25,3,member,3
8,2021-01-25,4,casual,3
9,2021-01-25,4,member,2
10,2021-01-25,5,casual,5
11,2021-01-25,5,member,21
12,2021-01-25,6,casual,8
13,2021-01-25,6,member,60
14,2021-01-25,7,casual,16
15,2021-01-25,7,member,114
16,2021-01-25,8,casual,37
17,2021-01-25,8,member,172
18,2021-01-25,9,casual,30
19,2021-01-25,9,member,136
20,2021-01-25,10,casual,29
21,2021-01-25,10,member,93
22,2021-01-25,11,casual,49
23,2021-01-25,11,member,112
24,2021-01-25,12,casual,43
25,2021-01-25,12,member,151
26,2021-01-25,13,casual,46
27,2021-01-25,13,member,121
28,2021-01-25,14,casual,53
29,2021-01-25,14,member,132
30,2021-01-25,15,casual,72
31,2021-01-25,15,member,138
32,2021-01-25,16,casual,52
33,2021-01-25,16,member,205
34,2021-01-25,17,casual,30
35,2021-01-25,17,member,163
36,2021-01-25,18,casual,11
37,2021-01-25,18,member,80
38,2021-01-25,19,casual,12
39,2021-01-25,19,member,53
40,2021-01-25,20,casual,9
41,2021-01-25,20,member,38
42,2021-01-25,21,casual,8
43,2021-01-25,21,member,18
44,2021-01-25,22,casual,10
45,2021-01-25,22,member,16
46,2021-01-25,23,casual,10
47,2021-01-25,23,member,9
48,2021-01-26,0,casual,2
49,2021-01-26,0,member,2
50,2021-01-26,1,casual,2
51,2021-01-26,1,member,1
52,2021-01-26,2,casual,1
53,2021-01-26,2,member,1
54,2021-01-26,3,casual,1
55,2021-01-26,3,member,2
56,2021-01-26,4,casual,4
57,2021-01-26,4,member,4
58,2021-01-26,5,casual,1
59,2021-01-26,5,member,9
60,2021-01-26,6,casual,6
61,2021-01-26,6,member,39
62,2021-01-26,7,casual,6
63,2021-01-26,7,member,55
64,2021-01-26,8,casual,13
65,2021-01-26,8,member,84
66,2021-01-26,9,casual,19
67,2021-01-26,9,member,69
68,2021-01-26,10,casual,19
69,2021-01-26,10,member,43
70,2021-01-26,11,casual,30
71,2021-01-26,11,member,59
72,2021-01-26,12,casual,37
73,2021-01-26,12,member,84
74,2021-01-26,13,casual,30
75,2021-01-26,13,member,95
76,2021-01-26,14,casual,22
77,2021-01-26,14,member,97
78,2021-01-26,15,casual,50
79,2021-01-26,15,member,101
80,2021-01-26,16,casual,45
81,2021-01-26,16,member,166
82,2021-01-26,17,casual,52
83,2021-01-26,17,member,191
84,2021-01-26,18,casual,46
85,2021-01-26,18,member,159
86,2021-01-26,19,casual,32
87,2021-01-26,19,member,98
88,2021-01-26,20,casual,28
89,2021-01-26,20,member,54
90,2021-01-26,21,casual,14
91,2021-01-26,21,member,36
92,2021-01-26,22,casual,20
93,2021-01-26,22,member,35
94,2021-01-26,23,casual,12
95,2021-01-26,23,member,21
96,2021-01-27,0,casual,7
97,2021-01-27,0,member,12
98,2021-01-27,1,casual,4
99,2021-01-27,1,member,5
100,2021-01-27,2,casual,2
101,2021-01-27,2,member,1
102,2021-01-27,3,casual,1
103,2021-01-27,3,member,1
104,2021-01-27,4,casual,4
105,2021-01-27,4,member,7
106,2021-01-27,5,casual,8
107,2021-01-27,5,member,17
108,2021-01-27,6,casual,17
109,2021-01-27,6,member,80
110,2021-01-27,7,casual,24
111,2021-01-27,7,member,135
112,2021-01-27,8,casual,52
113,2021-01-27,8,member,158
114,2021-01-27,9,casual,56
115,2021-01-27,9,member,147
116,2021-01-27,10,casual,36
117,2021-01-27,10,member,114
118,2021-01-27,11,casual,55
119,2021-01-27,11,member,135
120,2021-01-27,12,casual,50
121,2021-01-27,12,member,170
122,2021-01-27,13,casual,67
123,2021-01-27,13,member,164
124,2021-01-27,14,casual,82
125,2021-01-27,14,member,154
126,2021-01-27,15,casual,86
127,2021-01-27,15,member,158
128,2021-01-27,16,casual,91
129,2021-01-27,16,member,222
130,2021-01-27,17,casual,105
131,2021-01-27,17,member,265
132,2021-01-27,18,casual,95
133,2021-01-27,18,member,226
134,2021-01-27,19,casual,50
135,2021-01-27,19,member,160
136,2021-01-27,20,casual,27
137,2021-01-27,20,member,91
138,2021-01-27,21,casual,21
139,2021-01-27,21,member,62
140,2021-01-27,22,casual,18
141,2021-01-27,22,member,45
142,2021-01-27,23,casual,10
143,2021-01-27,23,member,31
144,2021-01-28,0,casual,1
145,2021-01-28,0,member,9
146,2021-01-28,1,casual,5
147,2021-01-28,1,member,6
148,2021-01-28,2,casual,2
149,2021-01-28,2,member,3
150,2021-01-28,3,casual,1
151,2021-01-28,4,casual,3
152,2021-01-28,4,member,5
153,2021-01-28,5,casual,3
154,2021-01-28,5,member,20
155,2021-01-28,6,casual,11
156,2021-01-28,6,member,62
157,2021-01-28,7,casual,22
158,2021-01-28,7,member,122
159,2021-01-28,8,casual,31
160,2021-01-28,8,member,140
161,2021-01-28,9,casual,28
162,2021-01-28,9,member,114
163,2021-01-28,10,casual,25
164,2021-01-28,10,member,80
165,2021-01-28,11,casual,44
166,2021-01-28,11,member,106
167,2021-01-28,12,casual,62
168,2021-01-28,12,member,112
169,2021-01-28,13,casual,50
170,2021-01-28,13,member,100
171,2021-01-28,14,casual,49
172,2021-01-28,14,member,114
173,2021-01-28,15,casual,60
174,2021-01-28,15,member,139
175,2021-01-28,16,casual,62
176,2021-01-28,16,member,193
177,2021-01-28,17,casual,70
178,2021-01-28,17,member,196
179,2021-01-28,18,casual,61
180,2021-01-28,18,member,169
181,2021-01-28,19,casual,28
182,2021-01-28,19,member,114
183,2021-01-28,20,casual,17
184,2021-01-28,20,member,75
185,2021-01-28,21,casual,15
186,2021-01-28,21,member,41
187,2021-01-28,22,casual,23
188,2021-01-28,22,member,42
189,2021-01-28,23,casual,10
190,2021-01-28,23,member,22
191,2021-01-29,0,casual,4
192,2021-01-29,0,member,7
193,2021-01-29,1,casual,2
194,2021-01-29,1,member,8
195,2021-01-29,2,casual,3
196,2021-01-29,2,member,1
197,2021-01-29,3,casual,1
198,2021-01-29,4,casual,3
199,2021-01-29,4,member,4
200,2021-01-29,5,casual,5
201,2021-01-29,5,member,10
202,2021-01-29,6,casual,10
203,2021-01-29,6,member,49
204,2021-01-29,7,casual,25
205,2021-01-29,7,member,104
206,2021-01-29,8,casual,35
207,2021-01-29,8,member,120
208,2021-01-29,9,casual,32
209,2021-01-29,9,member,116
210,2021-01-29,10,casual,35
211,2021-01-29,10,member,101
212,2021-01-29,11,casual,42
213,2021-01-29,11,member,116
214,2021-01-29,12,casual,37
215,2021-01-29,12,member,136
216,2021-01-29,13,casual,72
217,2021-01-29,13,member,124
218,2021-01-29,14,casual,58
219,2021-01-29,14,member,124
220,2021-01-29,15,casual,72
221,2021-01-29,15,member,137
222,2021-01-29,16,casual,62
223,2021-01-29,16,member,173
224,2021-01-29,17,casual,82
225,2021-01-29,17,member,229
226,2021-01-29,18,casual,82
227,2021-01-29,18,member,169
228,2021-01-29,19,casual,63
229,2021-01-29,19,member,148
230,2021-01-29,20,casual,36
231,2021-01-29,20,member,68
232,2021-01-29,21,casual,33
233,2021-01-29,21,member,27
234,2021-01-29,22,casual,16
235,2021-01-29,22,member,51
236,2021-01-29,23,casual,14
237,2021-01-29,23,member,24
238,2021-01-30,0,casual,13
239,2021-01-30,0,member,20
240,2021-01-30,1,casual,8
241,2021-01-30,1,member,9
242,2021-01-30,2,casual,5
243,2021-01-30,2,member,10
244,2021-01-30,3,casual,5
245,2021-01-30,3,member,5
246,2021-01-30,4,casual,5
247,2021-01-30,4,member,8
248,2021-01-30,5,casual,2
249,2021-01-30,5,member,7
250,2021-01-30,6,casual,11
251,2021-01-30,6,member,13
252,2021-01-30,7,casual,18
253,2021-01-30,7,member,35
254,2021-01-30,8,casual,25
255,2021-01-30,8,member,77
256,2021-01-30,9,casual,30
257,2021-01-30,9,member,96
258,2021-01-30,10,casual,38
259,2021-01-30,10,member,159
260,2021-01-30,11,casual,91
261,2021-01-30,11,member,195
262,2021-01-30,12,casual,136
263,2021-01-30,12,member,222
264,2021-01-30,13,casual,166
265,2021-01-30,13,member,231
266,2021-01-30,14,casual,206
267,2021-01-30,14,member,242
268,2021-01-30,15,casual,178
269,2021-01-30,15,member,258
270,2021-01-30,16,casual,168
271,2021-01-30,16,member,240
272,2021-01-30,17,casual,113
273,2021-01-30,17,member,218
274,2021-01-30,18,casual,74
275,2021-01-30,18,member,176
276,2021-01-30,19,casual,45
277,2021-01-30,19,member,103
278,2021-01-30,20,casual,38
279,2021-01-30,20,member,86
280,2021-01-30,21,casual,33
281,2021-01-30,21,member,49
282,2021-01-30,22,casual,30
283,2021-01-30,22,member,51
284,2021-01-30,23,casual,25
285,2021-01-30,23,member,25
286,2021-01-31,0,casual,22
287,2021-01-31,0,member,31
288,2021-01-31,1,casual,7
289,2021-01-31,1,member,6
290,2021-01-31,2,casual,6
291,2021-01-31,2,member,4
292,2021-01-31,3,casual,2
293,2021-01-31,3,member,3
294,2021-01-31,4,casual,1
295,2021-01-31,4,member,3
296,2021-01-31,5,casual,2
297,2021-01-31,5,member,8
298,2021-01-31,6,casual,8
299,2021-01-31,6,member,13
300,2021-01-31,7,casual,8
301,2021-01-31,7,member,22
302,2021-01-31,8,casual,9
303,2021-01-31,8,member,30
304,2021-01-31,9,casual,6
305,2021-01-31,9,member,31
306,2021-01-31,10,casual,18
307,2021-01-31,10,member,37
308,2021-01-31,11,casual,21
309,2021-01-31,11,member,63
310,2021-01-31,12,casual,17
311,2021-01-31,12,member,61
312,2021-01-31,13,casual,30
313,2021-01-31,13,member,82
314,2021-01-31,14,casual,26
315,2021-01-31,14,member,63
316,2021-01-31,15,casual,32
317,2021-01-31,15,member,50
318,2021-01-31,16,casual,38
319,2021-01-31,16,member,73
320,2021-01-31,17,casual,22
321,2021-01-31,17,member,43
322,2021-01-31,18,casual,13
323,2021-01-31,18,member,16
324,2021-01-31,19,casual,9
325,2021-01-31,19,member,17
326,2021-01-31,20,casual,11
327,2021-01-31,20,member,16
328,2021-01-31,21,casual,9
329,2021-01-31,21,member,15
330,2021-01-31,22,casual,9
331,2021-01-31,22,member,12
332,2021-01-31,23,casual,3
333,2021-01-31,23,member,7
